rainfall,temperature,humidity,wind_speed,pressure,moisture_index,instability_index,pressure_drop,rain_intensity,risk_label
3.0,23.71,69.0,4.02,1023.0,207.0,1635.99,-10.0,12.059999999999999,1
9.0,23.71,69.0,4.02,1023.0,621.0,1635.99,-10.0,36.17999999999999,1
26.1,23.71,69.0,4.02,1023.0,1800.9,1635.99,-10.0,104.922,2
26.6,23.71,69.0,4.02,1023.0,1835.4,1635.99,-10.0,106.93199999999999,2
13.1,23.71,69.0,4.02,1023.0,903.9,1635.99,-10.0,52.66199999999999,1
0.9,29.82,80.0,9.04,1009.0,72.0,2385.6,4.0,8.136,0
9.0,29.82,80.0,9.04,1009.0,720.0,2385.6,4.0,81.35999999999999,1
7.4,29.82,80.0,9.04,1009.0,592.0,2385.6,4.0,66.896,1
23.2,29.82,80.0,9.04,1009.0,1856.0,2385.6,4.0,209.72799999999998,2
10.7,29.82,80.0,9.04,1009.0,856.0,2385.6,4.0,96.72799999999998,1
12.8,29.82,80.0,9.04,1009.0,1024.0,2385.6,4.0,115.71199999999999,1
8.4,29.82,80.0,9.04,1009.0,672.0,2385.6,4.0,75.93599999999999,1
6.4,29.82,80.0,9.04,1009.0,512.0,2385.6,4.0,57.855999999999995,1
17.8,29.82,80.0,9.04,1009.0,1424.0,2385.6,4.0,160.91199999999998,1
7.8,29.82,80.0,9.04,1009.0,624.0,2385.6,4.0,70.51199999999999,1
7.8,29.82,80.0,9.04,1009.0,624.0,2385.6,4.0,70.51199999999999,1
8.6,29.82,80.0,9.04,1009.0,688.0,2385.6,4.0,77.74399999999999,1
3.4,29.82,80.0,9.04,1009.0,272.0,2385.6,4.0,30.735999999999997,1
1.8,29.82,80.0,9.04,1009.0,144.0,2385.6,4.0,16.272,0
5.1,29.82,80.0,9.04,1009.0,408.0,2385.6,4.0,46.10399999999999,1
1.1,29.82,80.0,9.04,1009.0,88.0,2385.6,4.0,9.943999999999999,0
1.9,29.82,80.0,9.04,1009.0,152.0,2385.6,4.0,17.176,0
7.0,29.82,80.0,9.04,1009.0,560.0,2385.6,4.0,63.279999999999994,1
0.5,29.82,80.0,9.04,1009.0,40.0,2385.6,4.0,4.52,0
6.3,29.82,80.0,9.04,1009.0,504.0,2385.6,4.0,56.95199999999999,1
42.7,29.82,80.0,9.04,1009.0,3416.0,2385.6,4.0,386.008,2
18.1,29.82,80.0,9.04,1009.0,1448.0,2385.6,4.0,163.624,1
25.7,29.82,80.0,9.04,1009.0,2056.0,2385.6,4.0,232.32799999999997,2
0.0,29.82,80.0,9.04,1009.0,0.0,2385.6,4.0,0.0,0
0.0,29.82,80.0,9.04,1009.0,0.0,2385.6,4.0,0.0,0
9.6,29.82,80.0,9.04,1009.0,768.0,2385.6,4.0,86.78399999999999,1
0.0,29.82,80.0,9.04,1009.0,0.0,2385.6,4.0,0.0,0
7.7,29.82,80.0,9.04,1009.0,616.0,2385.6,4.0,69.60799999999999,1
41.1,29.82,80.0,9.04,1009.0,3288.0,2385.6,4.0,371.544,2
5.7,29.82,80.0,9.04,1009.0,456.0,2385.6,4.0,51.528,1
35.0,29.82,80.0,9.04,1009.0,2800.0,2385.6,4.0,316.4,2
48.4,29.82,80.0,9.04,1009.0,3872.0,2385.6,4.0,437.53599999999994,2
31.5,29.82,80.0,9.04,1009.0,2520.0,2385.6,4.0,284.76,2
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
1.9,28.14,79.0,5.7,1007.0,150.1,2223.06,6.0,10.83,0
2.5,28.14,79.0,5.7,1007.0,197.5,2223.06,6.0,14.25,1
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
1.0,28.14,79.0,5.7,1007.0,79.0,2223.06,6.0,5.7,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
3.1,28.14,79.0,5.7,1007.0,244.9,2223.06,6.0,17.67,1
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.2,28.14,79.0,5.7,1007.0,15.8,2223.06,6.0,1.1400000000000001,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
0.7,28.14,79.0,5.7,1007.0,55.3,2223.06,6.0,3.9899999999999998,0
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
8.3,28.14,79.0,5.7,1007.0,655.7,2223.06,6.0,47.31,1
8.9,28.14,79.0,5.7,1007.0,703.1,2223.06,6.0,50.730000000000004,1
0.0,28.14,79.0,5.7,1007.0,0.0,2223.06,6.0,0.0,0
2.9,28.14,79.0,5.7,1007.0,229.1,2223.06,6.0,16.53,1
3.1,28.14,79.0,5.7,1007.0,244.9,2223.06,6.0,17.67,1
17.5,28.14,79.0,5.7,1007.0,1382.5,2223.06,6.0,99.75,1
10.6,28.14,79.0,5.7,1007.0,837.4,2223.06,6.0,60.42,1
4.2,28.14,79.0,5.7,1007.0,331.8,2223.06,6.0,23.94,1
0.9,28.14,79.0,5.7,1007.0,71.10000000000001,2223.06,6.0,5.13,0
2.4,28.14,79.0,5.7,1007.0,189.6,2223.06,6.0,13.68,1
7.2,28.14,79.0,5.7,1007.0,568.8000000000001,2223.06,6.0,41.04,1
12.0,28.14,79.0,5.7,1007.0,948.0,2223.06,6.0,68.4,1
1.6,28.14,79.0,5.7,1007.0,126.4,2223.06,6.0,9.120000000000001,0
3.4,28.14,79.0,5.7,1007.0,268.59999999999997,2223.06,6.0,19.38,1
0.6,28.14,79.0,5.7,1007.0,47.4,2223.06,6.0,3.42,0
0.5,32.125,62.0,2.535,1007.0,31.0,1991.75,6.0,1.2675,0
0.2,32.125,62.0,2.535,1007.0,12.4,1991.75,6.0,0.507,0
0.7,32.125,62.0,2.535,1007.0,43.4,1991.75,6.0,1.7745,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
2.4,32.125,62.0,2.535,1007.0,148.79999999999998,1991.75,6.0,6.0840000000000005,1
5.9,32.125,62.0,2.535,1007.0,365.8,1991.75,6.0,14.956500000000002,1
10.2,32.125,62.0,2.535,1007.0,632.4,1991.75,6.0,25.857,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.2,32.125,62.0,2.535,1007.0,12.4,1991.75,6.0,0.507,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.1,32.125,62.0,2.535,1007.0,6.2,1991.75,6.0,0.2535,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.3,32.125,62.0,2.535,1007.0,18.599999999999998,1991.75,6.0,0.7605000000000001,0
0.8,32.125,62.0,2.535,1007.0,49.6,1991.75,6.0,2.028,0
0.1,32.125,62.0,2.535,1007.0,6.2,1991.75,6.0,0.2535,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.2,32.125,62.0,2.535,1007.0,12.4,1991.75,6.0,0.507,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
2.4,32.125,62.0,2.535,1007.0,148.79999999999998,1991.75,6.0,6.0840000000000005,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
1.8,32.125,62.0,2.535,1007.0,111.60000000000001,1991.75,6.0,4.563000000000001,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
46.4,32.125,62.0,2.535,1007.0,2876.7999999999997,1991.75,6.0,117.62400000000001,2
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
1.5,32.125,62.0,2.535,1007.0,93.0,1991.75,6.0,3.8025,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.6,32.125,62.0,2.535,1007.0,37.199999999999996,1991.75,6.0,1.5210000000000001,0
2.1,32.125,62.0,2.535,1007.0,130.20000000000002,1991.75,6.0,5.3235,1
1.3,32.125,62.0,2.535,1007.0,80.60000000000001,1991.75,6.0,3.2955,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
1.2,32.125,62.0,2.535,1007.0,74.39999999999999,1991.75,6.0,3.0420000000000003,0
